delta_margin_logit,delta_margin_prob,k_class_id,k_label,k_rank,l_class_id,l_label,l_rank,sample_idx,shared_only_margin_logit,shared_only_margin_prob,shared_plus_unique_margin_logit,shared_plus_unique_margin_prob
0.00015941262245178223,1.9438564777374268e-05,6,frog,0,9,truck,1,0,0.09347459673881531,0.010373257100582123,0.09363400936126709,0.010392695665359497
0.0002015531063079834,2.399832010269165e-05,6,frog,0,7,horse,2,0,0.11358647048473358,0.012481197714805603,0.11378802359104156,0.012505196034908295
0.0003718137741088867,4.159659147262573e-05,6,frog,0,1,automobile,3,0,0.118191659450531,0.012957938015460968,0.11856347322463989,0.012999534606933594
0.00032889842987060547,3.714859485626221e-05,6,frog,0,4,deer,4,0,0.12053088843822479,0.013199254870414734,0.1208597868680954,0.013236403465270996
-0.00015322864055633545,-1.87605619430542e-05,9,truck,1,6,frog,0,0,-0.09347459673881531,-0.010373257100582123,-0.09362782537937164,-0.010392017662525177
4.976987838745117e-05,5.349516868591309e-06,9,truck,1,7,horse,2,0,0.020111873745918274,0.0021079406142234802,0.020161643624305725,0.0021132901310920715
0.0002069622278213501,2.1599233150482178e-05,9,truck,1,1,automobile,3,0,0.024717062711715698,0.002584680914878845,0.02492402493953705,0.0026062801480293274
0.00016702711582183838,1.7464160919189453e-05,9,truck,1,4,deer,4,0,0.027056291699409485,0.002825997769832611,0.027223318815231323,0.0028434619307518005
-0.00019716471433639526,-2.3476779460906982e-05,7,horse,2,6,frog,0,0,-0.11358647048473358,-0.012481197714805603,-0.11378363519906998,-0.01250467449426651
-4.3369829654693604e-05,-4.686415195465088e-06,7,horse,2,9,truck,1,0,-0.020111873745918274,-0.0021079406142234802,-0.020155243575572968,-0.0021126270294189453
0.0001636594533920288,1.6927719116210938e-05,7,horse,2,1,automobile,3,0,0.004605188965797424,0.000476740300655365,0.004768848419189453,0.0004936680197715759
0.00011882185935974121,1.2278556823730469e-05,7,horse,2,4,deer,4,0,0.006944417953491211,0.0007180571556091309,0.007063239812850952,0.0007303357124328613
-0.0003753677010536194,-4.199892282485962e-05,1,automobile,3,6,frog,0,0,-0.118191659450531,-0.012957938015460968,-0.11856702715158463,-0.012999936938285828
-0.000216655433177948,-2.261251211166382e-05,1,automobile,3,9,truck,1,0,-0.024717062711715698,-0.002584680914878845,-0.024933718144893646,-0.002607293426990509
-0.00017215311527252197,-1.7799437046051025e-05,1,automobile,3,7,horse,2,0,-0.004605188965797424,-0.000476740300655365,-0.004777342081069946,-0.000494539737701416
-5.179643630981445e-05,-5.364418029785156e-06,1,automobile,3,4,deer,4,0,0.0023392289876937866,0.00024131685495376587,0.002287432551383972,0.0002359524369239807
-0.00033230334520339966,-3.7536025047302246e-05,4,deer,4,6,frog,0,0,-0.12053088843822479,-0.013199254870414734,-0.12086319178342819,-0.013236790895462036
-0.0001699700951576233,-1.7754733562469482e-05,4,deer,4,9,truck,1,0,-0.027056291699409485,-0.002825997769832611,-0.027226261794567108,-0.0028437525033950806
-0.00013565272092819214,-1.401454210281372e-05,4,deer,4,7,horse,2,0,-0.006944417953491211,-0.0007180571556091309,-0.007080070674419403,-0.0007320716977119446
4.137307405471802e-05,4.291534423828125e-06,4,deer,4,1,automobile,3,0,-0.0023392289876937866,-0.00024131685495376587,-0.0022978559136390686,-0.00023702532052993774
5.631893873214722e-05,6.951391696929932e-06,6,frog,0,9,truck,1,1,0.10399562120437622,0.011459916830062866,0.10405194014310837,0.011466868221759796
7.830560207366943e-05,9.261071681976318e-06,6,frog,0,7,horse,2,1,0.11471918225288391,0.012575246393680573,0.11479748785495758,0.012584507465362549
0.0001323223114013672,1.4819204807281494e-05,6,frog,0,4,deer,3,1,0.12497946619987488,0.013631239533424377,0.12511178851127625,0.013646058738231659
9.107589721679688e-05,1.0594725608825684e-05,6,frog,0,1,automobile,4,1,0.12928661704063416,0.014071322977542877,0.12937769293785095,0.014081917703151703
-5.811452865600586e-05,-7.100403308868408e-06,9,truck,1,6,frog,0,1,-0.10399562120437622,-0.011459916830062866,-0.10405373573303223,-0.011467017233371735
1.2859702110290527e-05,1.3560056686401367e-06,9,truck,1,7,horse,2,1,0.01072356104850769,0.0011153295636177063,0.010736420750617981,0.0011166855692863464
6.477534770965576e-05,6.6980719566345215e-06,9,truck,1,4,deer,3,1,0.020983844995498657,0.0021713227033615112,0.021048620343208313,0.0021780207753181458
3.0077993869781494e-05,3.1441450119018555e-06,9,truck,1,1,automobile,4,1,0.025290988385677338,0.002611406147480011,0.02532106637954712,0.002614550292491913
-8.483231067657471e-05,-9.976327419281006e-06,7,horse,2,6,frog,0,1,-0.11471918225288391,-0.012575246393680573,-0.11480401456356049,-0.012585222721099854
-2.533942461013794e-05,-2.652406692504883e-06,7,horse,2,9,truck,1,1,-0.01072356104850769,-0.0011153295636177063,-0.010748900473117828,-0.0011179819703102112
6.013363599777222e-05,6.1765313148498535e-06,7,horse,2,4,deer,3,1,0.010260283946990967,0.001055993139743805,0.010320417582988739,0.0010621696710586548
1.0862946510314941e-05,1.1324882507324219e-06,7,horse,2,1,automobile,4,1,0.014567427337169647,0.0014960765838623047,0.014578290283679962,0.0014972090721130371
-0.0001308917999267578,-1.4670193195343018e-05,4,deer,3,6,frog,0,1,-0.12497946619987488,-0.013631239533424377,-0.12511035799980164,-0.01364590972661972
